grid_id,center_lat,center_lon
1,40.71121200042465,-74.0010312334051
5,40.71805401742485,-73.99710607263461
6,40.733868235739855,-74.0006804825334
7,40.71671265630929,-73.98546859506736
9,40.72682513232629,-73.98452654202312
10,40.74815174168119,-74.0006139339659
13,40.73903523494073,-73.98709177635033
14,40.75268626523872,-73.98834486554317
17,40.75274229102634,-73.97187723970954
18,40.76268120783885,-73.98339434352131
19,40.77253113529202,-73.95713375563902
20,40.77877793048994,-73.98083351122166
22,40.780398877921684,-73.96735216299555
23,40.791734953879626,-73.94451788265404
24,40.795535900718676,-73.96874064990305
25,40.802287440039294,-73.9372601050283
26,40.81282466974548,-73.95710282519178
28,40.80506205530484,-73.95052020526899
30,40.82537662542131,-73.94889426428671
32,40.81941675325856,-73.94139461014177
33,40.840273460027866,-73.93963231425677
34,40.85865098909586,-73.92796445695767
40,40.813431973406374,-73.91709857363838
41,40.81699297701873,-73.89127709593771
42,40.830772803985234,-73.90077446255712
43,40.827349275104154,-73.86502342983177
44,40.83382075351517,-73.91963755606044
45,40.84382259034359,-73.8285763664708
46,40.85323176529171,-73.90639982351657
47,40.88563549668492,-73.85307885974075
48,40.84885655174847,-73.8885166713307
49,40.85745538138864,-73.85810549490819
50,40.88275433708172,-73.90372449836765
52,40.869641333289216,-73.89130376951032
60,40.57918927708975,-73.9807331194656
61,40.59601437052727,-73.95189794297595
62,40.60703558024717,-73.99320983591772
63,40.62186479050311,-73.92657240689154
66,40.633850637851346,-73.98506143782322
67,40.65002640074171,-73.93571307831009
68,40.62690690026698,-74.0230119915392
69,40.64005380458055,-73.90098496593673
70,40.63776791011048,-73.959148159979
71,40.66315666326561,-73.9477175488364
72,40.64940912925264,-74.00521331811112
73,40.6692720243147,-73.91100329066484
75,40.669229214455946,-73.88177659257687
76,40.68007204568393,-74.00026802868436
77,40.673562094990245,-73.94104592018083
78,40.67576938077013,-73.97960644081324
79,40.68875385882262,-73.9484878086586
81,40.686489554234804,-73.92944356053181
83,40.6959892035074,-73.91919213126121
84,40.692668341981175,-73.98676044709815
88,40.690430126139525,-73.97140250168971
90,40.707659062431865,-73.94876797872325
94,40.72312230576776,-73.95172268829748
100,40.58631656075854,-73.81951072084522
101,40.600189066673046,-73.76090709172132
102,40.6942037551647,-73.8401885350011
103,40.703592610227645,-73.79224013704105
104,40.7094420007794,-73.89577078276055
105,40.696666377050214,-73.74064735468589
106,40.67617623182887,-73.82981823135603
107,40.72349184356615,-73.80361872240775
108,40.74339957904525,-73.92338819407077
109,40.765256452790595,-73.82302467365902
110,40.74178223613018,-73.86977432998833
111,40.75690876182687,-73.76495081415702
112,40.72526924117756,-73.85330183958996
113,40.68268386474907,-73.77568067575717
114,40.76443441845061,-73.92126768237979
115,40.7551639089548,-73.87628971063108
120,40.629631295692036,-74.09116224949582
121,40.61626095898679,-74.15420852583003
122,40.57591459516278,-74.1110945008888
123,40.534470431418484,-74.20703236651957
