grid_id,center_lat,center_lon,min_lat,max_lat,min_lon,max_lon
0,40.509613513513514,-74.23787375249763,40.4961,40.52312702702702,-74.2557,-74.22004750499526
1,40.509613513513514,-74.20222125749291,40.4961,40.52312702702702,-74.22004750499526,-74.18439500999052
2,40.509613513513514,-74.16656876248815,40.4961,40.52312702702702,-74.18439500999052,-74.14874251498578
3,40.509613513513514,-74.13091626748343,40.4961,40.52312702702702,-74.14874251498578,-74.11309001998104
4,40.509613513513514,-74.09526377247867,40.4961,40.52312702702702,-74.11309001998104,-74.0774375249763
5,40.509613513513514,-74.05961127747393,40.4961,40.52312702702702,-74.0774375249763,-74.04178502997156
6,40.509613513513514,-74.0239587824692,40.4961,40.52312702702702,-74.04178502997156,-74.00613253496682
7,40.509613513513514,-73.98830628746447,40.4961,40.52312702702702,-74.00613253496682,-73.97048003996208
8,40.509613513513514,-73.95265379245973,40.4961,40.52312702702702,-73.97048003996208,-73.93482754495734
9,40.509613513513514,-73.91700129745497,40.4961,40.52312702702702,-73.93482754495734,-73.8991750499526
10,40.509613513513514,-73.88134880245025,40.4961,40.52312702702702,-73.8991750499526,-73.86352255494786
11,40.509613513513514,-73.8456963074455,40.4961,40.52312702702702,-73.86352255494786,-73.82787005994312
12,40.509613513513514,-73.81004381244077,40.4961,40.52312702702702,-73.82787005994312,-73.79221756493838
13,40.509613513513514,-73.77439131743601,40.4961,40.52312702702702,-73.79221756493838,-73.75656506993364
14,40.509613513513514,-73.73873882243127,40.4961,40.52312702702702,-73.75656506993364,-73.7209125749289
15,40.53664054054053,-74.23787375249763,40.52312702702702,40.55015405405405,-74.2557,-74.22004750499526
16,40.53664054054053,-74.20222125749291,40.52312702702702,40.55015405405405,-74.22004750499526,-74.18439500999052
17,40.53664054054053,-74.16656876248815,40.52312702702702,40.55015405405405,-74.18439500999052,-74.14874251498578
18,40.53664054054053,-74.13091626748343,40.52312702702702,40.55015405405405,-74.14874251498578,-74.11309001998104
19,40.53664054054053,-74.09526377247867,40.52312702702702,40.55015405405405,-74.11309001998104,-74.0774375249763
20,40.53664054054053,-74.05961127747393,40.52312702702702,40.55015405405405,-74.0774375249763,-74.04178502997156
21,40.53664054054053,-74.0239587824692,40.52312702702702,40.55015405405405,-74.04178502997156,-74.00613253496682
22,40.53664054054053,-73.98830628746447,40.52312702702702,40.55015405405405,-74.00613253496682,-73.97048003996208
23,40.53664054054053,-73.95265379245973,40.52312702702702,40.55015405405405,-73.97048003996208,-73.93482754495734
24,40.53664054054053,-73.91700129745497,40.52312702702702,40.55015405405405,-73.93482754495734,-73.8991750499526
25,40.53664054054053,-73.88134880245025,40.52312702702702,40.55015405405405,-73.8991750499526,-73.86352255494786
26,40.53664054054053,-73.8456963074455,40.52312702702702,40.55015405405405,-73.86352255494786,-73.82787005994312
27,40.53664054054053,-73.81004381244077,40.52312702702702,40.55015405405405,-73.82787005994312,-73.79221756493838
28,40.53664054054053,-73.77439131743601,40.52312702702702,40.55015405405405,-73.79221756493838,-73.75656506993364
29,40.53664054054053,-73.73873882243127,40.52312702702702,40.55015405405405,-73.75656506993364,-73.7209125749289
30,40.56366756756756,-74.23787375249763,40.55015405405405,40.57718108108107,-74.2557,-74.22004750499526
31,40.56366756756756,-74.20222125749291,40.55015405405405,40.57718108108107,-74.22004750499526,-74.18439500999052
32,40.56366756756756,-74.16656876248815,40.55015405405405,40.57718108108107,-74.18439500999052,-74.14874251498578
33,40.56366756756756,-74.13091626748343,40.55015405405405,40.57718108108107,-74.14874251498578,-74.11309001998104
34,40.56366756756756,-74.09526377247867,40.55015405405405,40.57718108108107,-74.11309001998104,-74.0774375249763
35,40.56366756756756,-74.05961127747393,40.55015405405405,40.57718108108107,-74.0774375249763,-74.04178502997156
36,40.56366756756756,-74.0239587824692,40.55015405405405,40.57718108108107,-74.04178502997156,-74.00613253496682
37,40.56366756756756,-73.98830628746447,40.55015405405405,40.57718108108107,-74.00613253496682,-73.97048003996208
38,40.56366756756756,-73.95265379245973,40.55015405405405,40.57718108108107,-73.97048003996208,-73.93482754495734
39,40.56366756756756,-73.91700129745497,40.55015405405405,40.57718108108107,-73.93482754495734,-73.8991750499526
40,40.56366756756756,-73.88134880245025,40.55015405405405,40.57718108108107,-73.8991750499526,-73.86352255494786
41,40.56366756756756,-73.8456963074455,40.55015405405405,40.57718108108107,-73.86352255494786,-73.82787005994312
42,40.56366756756756,-73.81004381244077,40.55015405405405,40.57718108108107,-73.82787005994312,-73.79221756493838
43,40.56366756756756,-73.77439131743601,40.55015405405405,40.57718108108107,-73.79221756493838,-73.75656506993364
44,40.56366756756756,-73.73873882243127,40.55015405405405,40.57718108108107,-73.75656506993364,-73.7209125749289
45,40.59069459459459,-74.23787375249763,40.57718108108107,40.6042081081081,-74.2557,-74.22004750499526
46,40.59069459459459,-74.20222125749291,40.57718108108107,40.6042081081081,-74.22004750499526,-74.18439500999052
47,40.59069459459459,-74.16656876248815,40.57718108108107,40.6042081081081,-74.18439500999052,-74.14874251498578
48,40.59069459459459,-74.13091626748343,40.57718108108107,40.6042081081081,-74.14874251498578,-74.11309001998104
49,40.59069459459459,-74.09526377247867,40.57718108108107,40.6042081081081,-74.11309001998104,-74.0774375249763
50,40.59069459459459,-74.05961127747393,40.57718108108107,40.6042081081081,-74.0774375249763,-74.04178502997156
51,40.59069459459459,-74.0239587824692,40.57718108108107,40.6042081081081,-74.04178502997156,-74.00613253496682
52,40.59069459459459,-73.98830628746447,40.57718108108107,40.6042081081081,-74.00613253496682,-73.97048003996208
