grid_id,center_lat,center_lon
218,40.672090,-73.773036
219,40.662185,-73.764506
220,40.882403,-73.910665
221,40.618769,-74.073704
222,40.647527,-73.882413
223,40.777427,-73.905408
224,40.731821,-73.976598
225,40.688168,-73.931888
226,40.737699,-73.924673
227,40.641886,-74.004652
228,40.652355,-74.011271
229,40.756729,-73.965146
230,40.759818,-73.984196
231,40.717773,-74.007880
232,40.714733,-73.983025
233,40.749914,-73.970443
234,40.740337,-73.990458
235,40.852521,-73.915975
236,40.780436,-73.957012
237,40.768615,-73.965635
238,40.791705,-73.973049
239,40.783961,-73.978632
240,40.894599,-73.881978
241,40.876512,-73.895620
242,40.846783,-73.850671
243,40.857108,-73.932831
244,40.841709,-73.941399
245,40.630049,-74.102860
246,40.753309,-74.004015
247,40.828988,-73.924409
248,40.834165,-73.872289
249,40.734576,-74.002875
250,40.832102,-73.848641
251,40.616880,-74.125348
252,40.788193,-73.815657
253,40.760631,-73.841244
254,40.882157,-73.858948
255,40.718804,-73.957418
256,40.710880,-73.959905
257,40.653612,-73.977982
258,40.688721,-73.855767
259,40.897932,-73.852215
260,40.744235,-73.906306
261,40.709139,-74.013023
262,40.775932,-73.946510
263,40.778766,-73.951010
